platform,kernel,n_points,mean_delta,std_delta,cv_delta,mean_delta_rel_pct,slope,slope_se,r2
max32690,conv2d_small,5,-3276.2,1165.034832097307,-0.3556055283857234,-108.02694065981147,-344.3500000000001,130.49437727350548,0.6988956566733626
max32690,dot_product,5,-1604.8,0.4,-0.00024925224327018947,-572.759977369041,0.10000000000001275,0.057735026918965024,0.5
max32690,mat_mul,5,-2130.8,5.455272678794342,-0.002560199304859368,-118.96408398076514,-0.1999999999999335,1.107549848389079,0.010752688172029568
max32690,rmsnorm,5,-1558.6,8.2365041127896,-0.00528455287616425,-203.1819961675975,-0.7500000000000343,1.6245512200809689,0.06633254716982218
max32690,softmax,5,-3137.8,2322.9899181873348,-0.7403244050568343,-19.148074529472325,-686.1,260.6415546301087,0.6978630042577314
max32690,vec_abs,5,-1158.4,6.887670143089026,-0.00594584784451746,-496.2185464526933,0.5499999999999934,1.3696106502701366,0.051011804384502146
max32690,vec_add,5,-1604.4,0.4898979485566356,-0.0003053465149318347,-850.1517241526446,-0.15000000000003444,0.04999999999999312,0.749999999999962
max32690,vec_mul,5,-1607.6,6.216108107168021,-0.00386670073847227,-594.8891239597588,-0.7999999999999793,1.181806526749059,0.13250517598344025
qemu_cortex_a53,conv2d_small,5,-2543.6,2.2449944320643644,-0.0008826051391981304,-442.52057324786347,-0.14999999999994246,0.44999999999999374,0.03571428571427837
qemu_cortex_a53,dot_product,5,-2108.4,2.939387691339814,-0.00139413189686009,-1949.7503830963444,-0.9000000000000227,0.29999999999999327,0.7500000000000253
qemu_cortex_a53,mat_mul,5,-2370.6,2.8000000000000003,-0.0011811355774909308,-259.99507639640177,0.2499999999998939,0.5530220007679033,0.06377551020410244
qemu_cortex_a53,rmsnorm,5,-2056.2,0.39999999999999997,-0.0001945336056803813,-836.9032135770742,-0.1000000000000434,0.05773502691894144,0.5000000000002274
qemu_cortex_a53,softmax,5,-2056.2,3.4871191548325386,-0.001695904656566744,-412.8678475789592,1.0999999999999868,0.3214550253664196,0.7960526315789803
qemu_cortex_a53,vec_abs,5,-1899.0,2.0,-0.00105318588730911,-3034.1068857157775,0.25000000000001654,0.3818813079129832,0.12500000000003408
qemu_cortex_a53,vec_add,5,-2106.2,0.39999999999999997,-0.00018991548760801443,-2617.3437407992014,-0.09999999999998209,0.05773502691893944,0.5000000000002274
qemu_cortex_a53,vec_mul,5,-2107.2,2.4000000000000004,-0.0011389521640091118,-2621.812090330263,0.6000000000001071,0.34641016151380943,0.500000000000038
riscv32,conv2d_small,5,-163.4,1.3564659966250536,-0.008301505487301429,-73.5367267532184,-0.04999999999999679,0.27537852736430574,0.010869565217391242
riscv32,dot_product,5,-103.0,0.0,-0.0,-269.2456239492656,0.0,3.2924555586844394e-15,
riscv32,mat_mul,5,-142.4,1.019803902718557,-0.007161544260664024,-90.62335367100368,-0.30000000000000565,0.11547005383792576,0.6923076923076857
riscv32,rmsnorm,5,-97.6,3.0724582991474434,-0.03148010552405168,-36.73442758135453,-0.10000000000000124,0.6244997998398429,0.008474576271186418
riscv32,softmax,5,-94.4,1.019803902718557,-0.01080300744405251,-9.427392841758095,3.832382517789723e-15,0.2081665999466148,3.4416913763379853e-15
riscv32,vec_abs,5,-74.2,0.7483314773547882,-0.010085329883487712,-306.77067275498894,0.15000000000000283,0.1258305739211785,0.3214285714285744
riscv32,vec_add,5,-103.0,0.0,-0.0,-304.87449230454735,0.0,3.2924555586844394e-15,
riscv32,vec_mul,5,-103.0,0.0,-0.0,-340.98415495807205,0.0,3.2924555586844394e-15,
